Open,High,Low,Close,Datetime
"4,235.79","4,259.38","4,219.43","4,247.69",23.00-10.00-24.00 9.00:30.00
"4,210.40","4,255.84","4,189.22","4,217.03",23.00-10.00-23.00 9.00:30.00
"4,273.85","4,276.56","4,223.03","4,224.15",23.00-10.00-20.00 9.00:30.00
"4,321.36","4,339.54","4,269.69","4,277.99",23.00-10.00-19.00 9.00:30.00
"4,357.35","4,364.20","4,303.84","4,314.59",23.00-10.00-18.00 9.00:30.00
"4,345.23","4,393.57","4,337.54","4,373.21",23.00-10.00-17.00 9.00:30.00
"4,342.37","4,383.33","4,342.37","4,373.62",23.00-10.00-16.00 9.00:30.00
"4,360.49","4,377.10","4,311.97","4,327.79",23.00-10.00-13.00 9.00:30.00
"4,380.94","4,385.85","4,325.43","4,349.60",23.00-10.00-12.00 9.00:30.00
"4,366.59","4,378.64","4,345.34","4,376.94",23.00-10.00-11.00 9.00:30.00
"4,339.75","4,385.46","4,339.64","4,358.23",23.00-10.00-10.00 9.00:30.00
"4,289.02","4,341.73","4,283.79","4,335.65",23.00-10.00-9.00 9.00:30.00
"4,234.79","4,324.10","4,219.55","4,308.49",23.00-10.00-6.00 9.00:30.00
"4,259.31","4,267.13","4,225.91","4,258.18",23.00-10.00-5.00 9.00:30.00
"4,233.83","4,268.50","4,220.48","4,263.76",23.00-10.00-4.00 9.00:30.00
"4,269.75","4,281.15","4,216.45","4,229.46",23.00-10.00-3.00 9.00:30.00
"4,284.52","4,300.58","4,260.21","4,288.40",23.00-10.00-2.00 9.00:30.00
"4,328.18","4,333.15","4,274.86","4,288.04",23.00-9.00-29.00 9.00:30.00
"5,557.23","5,608.30","5,550.74","5,608.24",24.00-8.00-19.00 9.00:30.00
