Open,High,Low,Close,Datetime
479.75,483.3,477.45,483.3,24.00-8.00-14.00 11.00:40.00
470.1,478.5,470,478.5,24.00-8.00-14.00 11.00:35.00
469.25,474.25,467.4,470,24.00-8.00-14.00 11.00:30.00
474.6,474.6,471.25,471.25,24.00-8.00-14.00 11.00:25.00
481.3,486.25,475.85,475.85,24.00-8.00-14.00 11.00:20.00
477.4,485.4,475,485.4,24.00-8.00-14.00 11.00:15.00
486.85,488.4,475.05,479,24.00-8.00-14.00 11.00:10.00
486.95,495,486.95,491.35,24.00-8.00-14.00 11.00:5.00
482,490,477.6,490,24.00-8.00-14.00 11.00:0.00
473.9,486.6,473.9,482.05,24.00-8.00-14.00 10.00:55.00
467.8,471,467,471,24.00-8.00-14.00 10.00:50.00
464.3,467.7,454.95,467.65,24.00-8.00-14.00 10.00:45.00
462,472.3,458.9,458.9,24.00-8.00-14.00 10.00:40.00
475.5,475.5,465,469.15,24.00-8.00-14.00 10.00:35.00
489.2,489.6,479.85,479.85,24.00-8.00-14.00 10.00:30.00
483.65,489.4,483.65,488.8,24.00-8.00-14.00 10.00:25.00
471.15,487,469.8,483.65,24.00-8.00-14.00 10.00:20.00
481.65,491,466.45,468.45,24.00-8.00-14.00 10.00:15.00
487.45,487.45,480,482,24.00-8.00-14.00 10.00:10.00
488,496.3,486.4,489,24.00-8.00-14.00 10.00:5.00
507.7,507.7,485,485,24.00-8.00-14.00 10.00:0.00
509.25,510.45,502.85,510,24.00-8.00-14.00 9.00:55.00
466.15,500.05,461.95,500,24.00-8.00-14.00 9.00:50.00
476.25,477.6,456.7,471.45,24.00-8.00-14.00 9.00:45.00
503,505.55,492.75,492.75,24.00-8.00-14.00 9.00:40.00
489.5,510.25,489.5,501,24.00-8.00-14.00 9.00:35.00
504.15,512.7,495.6,495.6,24.00-8.00-14.00 9.00:30.00
495.85,507.15,492.25,500.45,24.00-8.00-14.00 9.00:25.00
486.25,491,475.15,486.25,24.00-8.00-14.00 9.00:20.00
474.95,496.25,474.95,486.9,24.00-8.00-14.00 9.00:15.00
498.25,502,498.1,502,24.00-8.00-13.00 15.00:25.00
502.4,502.4,490.2,499.45,24.00-8.00-13.00 15.00:20.00
513.7,513.7,502.75,502.75,24.00-8.00-13.00 15.00:15.00
482,517.5,482,517.5,24.00-8.00-13.00 15.00:10.00
488.7,496.4,484.5,489,24.00-8.00-13.00 15.00:5.00
490.3,492.35,481,490.5,24.00-8.00-13.00 15.00:0.00
494.65,515,494.65,505.55,24.00-8.00-13.00 14.00:55.00
508.3,512.3,488,489.05,24.00-8.00-13.00 14.00:50.00
499.05,510.65,497.55,506.75,24.00-8.00-13.00 14.00:45.00
500,507,500,503.85,24.00-8.00-13.00 14.00:40.00
500.2,502,496.4,498.75,24.00-8.00-13.00 14.00:35.00
480,520,480,506.65,24.00-8.00-13.00 14.00:30.00
496.2,500.8,480.65,486,24.00-8.00-13.00 14.00:25.00
504.5,508.75,486.25,494.9,24.00-8.00-13.00 14.00:20.00
509,525,504.8,506,24.00-8.00-13.00 14.00:15.00
528.4,534.25,502.7,504.05,24.00-8.00-13.00 14.00:10.00
